
time (s)       v("/i56_iout"  v("/vpre" ?res v("/vpre1" ?re

    0             16.6933918u 0              0              
  500u            16.6942071u 0              0              
    1.5m          16.6943271u 0              0              
    3.5m          16.6943403u 0              0              
    7.5m          16.6943354u 0              0              
   15.5m          16.6943401u 0              0              
   25.5m          16.6943356u 0              0              
   35.5m          16.6943400u 0              0              
   45.5m          16.6943358u 0              0              
   55.5m          16.6943398u 0              0              
   65.5m          16.6943359u 0              0              
   75.5m          16.6943396u 0              0              
   85.5m          16.6943361u 0              0              
   95.5m          16.6943395u 0              0              
  100m            16.6943364u 0              0              
  109m            16.6943378u 0              0              
  119m            16.6943379u 0              0              
  129m            16.6943378u 0              0              
  139m            16.6943378u 0              0              
  149m            16.6943378u 0              0              
  159m            16.6943379u 0              0              
  169m            16.6943378u 0              0              
  179m            16.6943379u 0              0              
  189m            16.6943378u 0              0              
  199m            16.6943379u 0              0              
  209m            16.6943378u 0              0              
  219m            16.6943378u 0              0              
  229m            16.6943378u 0              0              
  239m            16.6943379u 0              0              
  249m            16.6943378u 0              0              
  259m            16.6943379u 0              0              
  269m            16.6943377u 0              0              
  279m            16.6943379u 0              0              
  289m            16.6943378u 0              0              
  299m            16.6943379u 0              0              
  309m            16.6943378u 0              0              
  319m            16.6943379u 0              0              
  329m            16.6943378u 0              0              
  339m            16.6943378u 0              0              
  349m            16.6943378u 0              0              
  359m            16.6943378u 0              0              
  369m            16.6943378u 0              0              
  379m            16.6943378u 0              0              
  389m            16.6943378u 0              0              
  399m            16.6943378u 0              0              
  409m            16.6943378u 0              0              
  419m            16.6943378u 0              0              
  429m            16.6943378u 0              0              
  439m            16.6943379u 0              0              
  449m            16.6943378u 0              0              
  459m            16.6943379u 0              0              
  469m            16.6943378u 0              0              
  479m            16.6943379u 0              0              
  489m            16.6943377u 0              0              
  494.5m          16.6943380u 0              0              
  500m            16.6943377u 0              0              
